,Unnamed: 0,名称,总价,单价,产权信息,建筑面积,户型结构,建筑类型,建筑结构,装修,梯户比,供暖,电梯,区域,具体区域,厅,厨,卫,楼层类型,总层数,东,南,西,北,东南,东北,西南,西北,室
41,41,精装修南北三居室，诚意出售，看房方便,458.0,55435.0,co_ownership,82.62,flat_floor,Banlou,mixed_structure,hardcover,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,3
42,42,角门 西马小区  南北通透 正规三居 带客厅 采光充足,468.0,54956.0,non_co_ownership,85.16,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,3
43,43,角门甲4号院 南北低楼层 视野开阔,330.0,59643.0,non_co_ownership,55.33,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,2
44,44,怡然家园6号院精装修大客厅复式  无遮挡无浪费,645.0,55503.0,non_co_ownership,116.21,duplex,Banlou,mixed_structure,hardcover,0.3333333333333333,self_heating,no,Fengtai,Corner_Gate,1,1,2,middle_floor,6,no,south,no,no,no,no,no,no,2
45,45,首座绿洲 南向 三居室 中间层 采光好,780.0,61423.0,non_co_ownership,126.99,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,2,middle_floor,21,no,south,no,no,no,no,no,no,3
46,46,满五唯一，电梯，公摊小，户型好,892.0,53986.0,non_co_ownership,165.23,duplex,Banlou,mixed_structure,simple_decoration,0.3333333333333333,self_heating,no,Fengtai,Corner_Gate,3,1,2,high_floor,7,no,south,no,north,no,no,no,no,4
47,47,马家堡 10号线角门东  正规两居室  南北通透 不临街,420.0,55748.0,non_co_ownership,75.34,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,self_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2
48,48,司达小区，马家堡角门，不临街，满五唯一。,351.0,52950.0,non_co_ownership,66.29,flat_floor,Banlou,mixed_structure,simple_decoration,0.25,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,south,no,north,no,no,no,no,2
49,49,马家堡 角门 角门东里 南北两居 值得一看,289.0,48490.0,non_co_ownership,59.6,flat_floor,Banlou,mixed_structure,others,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2
50,50,南北通透无遮挡，采光好，视野佳，人车分流,685.0,78367.0,non_co_ownership,87.41,flat_floor,Banlou,steel_concrete_structure,simple_decoration,0.6666666666666666,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,19,no,south,no,north,no,no,no,no,2
51,51,马家堡 角门 角门东里 大两居,410.0,55684.0,non_co_ownership,73.63,flat_floor,tower,steel_concrete_structure,simple_decoration,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,19,east,south,no,north,no,no,no,no,2
52,52,司达小区 全南向两居室 采光好,278.0,55050.0,non_co_ownership,50.5,flat_floor,Banlou,mixed_structure,hardcover,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,no,no,no,no,no,2
53,53,马家堡，角门正规两居，东南角，中间层，精装修,320.0,62955.0,non_co_ownership,50.83,flat_floor,tower,mixed_structure,hardcover,0.2,central_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,6,no,no,no,no,southeast,no,no,no,2
54,54,角门东马家堡大红门洋桥一居室，户型方正，采光好,298.0,51710.0,non_co_ownership,57.63,flat_floor,tower,steel_concrete_structure,simple_decoration,0.16666666666666666,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,18,east,no,west,no,no,no,no,no,1
55,55,角门东里 正规南北通透三居 双地铁10号线和4号线,420.0,60958.0,non_co_ownership,68.9,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,no,south,no,north,no,no,no,no,3
56,56,此房是满五不唯一商品房，全朝南,420.0,62473.0,co_ownership,67.23,flat_floor,banta_combination,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,bottom_floor,14,no,south,no,no,no,no,no,no,1
57,57,马家堡 角门精装修低楼层一居室,268.0,62038.0,non_co_ownership,43.2,flat_floor,Banlou,mixed_structure,hardcover,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,low_floor,6,east,no,no,no,no,no,no,no,1
58,58,10号线4号线双地铁 中间楼层 南向 采光好 诚意出售,318.0,69707.0,non_co_ownership,45.62,flat_floor,Banlou,mixed_structure,hardcover,0.3333333333333333,self_heating,no,Fengtai,Corner_Gate,1,1,1,middle_floor,7,no,south,no,no,no,no,no,no,1
59,59,杏林园 正规一居室 南北通透 周边配套齐全,350.0,54594.0,non_co_ownership,64.11,flat_floor,tower,steel_concrete_structure,simple_decoration,0.16666666666666666,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,high_floor,18,no,south,no,north,no,no,no,no,1
60,60,角门甲8号院  满五年唯一 大一居室,368.0,51824.0,non_co_ownership,71.01,flat_floor,tower,steel_concrete_structure,hardcover,0.25,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,21,no,no,no,no,no,no,no,northwest,1
61,61,角门东里 2室1厅 南 北,313.0,54721.0,co_ownership,57.2,flat_floor,Banlou,mixed_structure,hardcover,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2
62,62,10号线马家堡角门东大红门35号院全南一居室满五唯一,275.0,54716.0,non_co_ownership,50.26,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,no,no,no,no,no,1
63,63,马家堡大红门角门10号线角门东地铁南北通透户型方正,655.0,58285.0,non_co_ownership,112.38,flat_floor,Banlou,mixed_structure,hardcover,0.3333333333333333,self_heating,no,Fengtai,Corner_Gate,1,1,2,middle_floor,6,no,south,no,north,no,no,no,no,3
64,64,满5唯一   诚心出售   电梯房,375.0,48425.0,non_co_ownership,77.44,flat_floor,tower,steel_concrete_structure,hardcover,0.16666666666666666,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,middle_floor,18,no,no,west,no,no,no,no,no,2
65,65,角门东里 正规三居室 南北通透 随时签约,390.0,50650.0,non_co_ownership,77.0,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,high_floor,6,no,south,no,north,no,no,no,no,3
66,66,马家堡 洋桥 角门 低楼层 一居室 精装修,290.0,76924.0,non_co_ownership,37.7,flat_floor,Banlou,mixed_structure,hardcover,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,no,no,no,no,no,2
67,67,角门东里，精装修，两居室，双地铁,405.0,52326.0,non_co_ownership,77.4,flat_floor,tower,steel_concrete_structure,hardcover,0.16666666666666666,central_heating,elevator,Fengtai,Corner_Gate,1,1,1,low_floor,18,east,no,no,no,no,no,no,no,2
68,68,马家堡角门东里  南北通透低楼层  交通便利,410.0,61562.0,non_co_ownership,66.6,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,north,no,no,no,no,3
69,69,经理推荐角门东里南北向采光好两居室,297.0,52225.0,non_co_ownership,56.87,flat_floor,Banlou,mixed_structure,simple_decoration,0.5,central_heating,no,Fengtai,Corner_Gate,1,1,1,top_floor,6,no,south,no,north,no,no,no,no,2
70,70,马家堡 大红门 两居室 2000年后配套齐全,465.0,58869.0,non_co_ownership,78.99,flat_floor,Banlou,mixed_structure,simple_decoration,0.3333333333333333,central_heating,no,Fengtai,Corner_Gate,1,1,1,bottom_floor,6,no,south,no,no,no,no,no,no,2
